id,plotRowNum,plotColumnNum,testName,EntryNo,Strain,plotRows,repNum,block,yield_bu_acre
100,1,1,Border,1,B1000,2,0,1,
101,2,1,Border,2,B1000,2,0,1,
102,3,1,Border,3,B1000,2,0,1,
103,4,1,Border,4,B1000,2,0,1,
104,5,1,Border,5,B1000,2,0,1,
105,6,1,Border,6,B1000,2,0,1,
106,7,1,Border,7,B1000,2,0,1,
107,8,1,Border,8,B1000,2,0,1,
108,9,1,Border,9,B1000,2,0,1,
109,10,1,Border,10,B1000,2,0,1,
110,11,1,Border,11,B1000,2,0,1,
111,12,1,Border,12,B1000,2,0,1,
112,13,1,Border,13,B1000,2,0,1,
113,14,1,Border,14,B1000,2,0,1,
114,15,1,Border,15,B1000,2,0,1,
115,16,1,Border,16,B1000,2,0,1,
116,17,1,Border,17,B1000,2,0,1,
117,18,1,Border,18,B1000,2,0,1,
118,19,1,Border,19,B1000,2,0,1,
119,20,1,Border,20,B1000,2,0,1,
120,21,1,Border,21,B1000,2,0,1,
121,22,1,Border,22,B1000,2,0,1,
122,23,1,Border,23,B1000,2,0,1,
123,24,1,Border,24,B1000,2,0,1,
124,25,1,Border,25,B1000,2,0,1,
125,26,1,Border,26,B1000,2,0,1,
126,27,1,Border,27,B1000,2,0,1,
127,28,1,Border,28,B1000,2,0,1,
128,29,1,Border,29,B1000,2,0,1,
129,30,1,Border,30,B1000,2,0,1,
130,31,1,Border,31,B1000,2,0,1,
131,32,1,Border,32,B1000,2,0,1,
132,33,1,Border,33,B1000,2,0,1,
133,34,1,Border,34,B1000,2,0,1,
134,35,1,Border,35,B1000,2,0,1,
135,36,1,Border,36,B1000,2,0,1,
136,37,1,Border,37,B1000,2,0,1,
137,38,1,Border,38,B1000,2,0,1,
138,39,1,Border,39,B1000,2,0,1,
139,40,1,Border,40,B1000,2,0,1,
140,41,1,Border,41,B1000,2,0,1,
141,42,1,Border,42,B1000,2,0,1,
142,43,1,Border,43,B1000,2,0,1,
143,44,1,Border,44,B1000,2,0,1,
144,45,1,Border,45,B1000,2,0,1,
145,46,1,Border,46,B1000,2,0,1,
146,47,1,Border,47,B1000,2,0,1,
147,48,1,Border,48,B1000,2,0,1,
148,49,1,Border,49,B1000,2,0,1,
149,50,1,Border,50,B1000,2,0,1,
150,51,1,Border,51,B1000,2,0,1,
151,52,1,Border,52,B1000,2,0,1,
152,53,1,Border,53,B1000,2,0,1,
153,54,1,Border,54,B1000,2,0,1,
154,55,1,Border,55,B1000,2,0,1,
155,56,1,Border,56,B1000,2,0,1,
156,57,1,Border,57,B1000,2,0,1,
157,58,1,Border,58,B1000,2,0,1,
158,59,1,Border,59,B1000,2,0,1,
159,60,1,Border,60,B1000,2,0,1,
160,61,1,Border,61,B1000,2,0,1,
161,62,1,Border,62,B1000,2,0,1,
162,63,1,Border,63,B1000,2,0,1,
163,64,1,Border,64,B1000,2,0,1,
164,1,2,Border,65,B1000,2,0,1,
165,2,2,Border,66,B1000,2,0,1,
166,3,2,Border,67,B1000,2,0,1,
167,4,2,Border,68,B1000,2,0,1,
168,5,2,Border,69,B1000,2,0,1,
169,6,2,Border,70,B1000,2,0,1,
170,7,2,Border,71,B1000,2,0,1,
171,8,2,Border,72,B1000,2,0,1,
172,9,2,Border,73,B1000,2,0,1,
173,10,2,Border,74,B1000,2,0,1,
174,11,2,Border,75,B1000,2,0,1,
175,12,2,Border,76,B1000,2,0,1,
176,13,2,Border,77,B1000,2,0,1,
177,14,2,Border,78,B1000,2,0,1,
178,15,2,Border,79,B1000,2,0,1,
179,16,2,Border,80,B1000,2,0,1,
180,17,2,Border,81,B1000,2,0,1,
181,18,2,Border,82,B1000,2,0,1,
182,19,2,Border,83,B1000,2,0,1,
183,20,2,Border,84,B1000,2,0,1,
184,21,2,Border,85,B1000,2,0,1,
185,22,2,Border,86,B1000,2,0,1,
186,23,2,Border,87,B1000,2,0,1,
187,24,2,Border,88,B1000,2,0,1,
188,25,2,Border,89,B1000,2,0,1,
189,26,2,Border,90,B1000,2,0,1,
190,27,2,Border,91,B1000,2,0,1,
191,28,2,Border,92,B1000,2,0,1,
192,29,2,Border,93,B1000,2,0,1,
193,30,2,Border,94,B1000,2,0,1,
194,31,2,Border,95,B1000,2,0,1,
195,32,2,Border,96,B1000,2,0,1,
196,33,2,Border,97,B1000,2,0,1,
197,34,2,Border,98,B1000,2,0,1,
198,35,2,Border,99,B1000,2,0,1,
199,36,2,Border,100,B1000,2,0,1,
200,37,2,Border,101,B1000,2,0,1,
201,38,2,Border,102,B1000,2,0,1,
202,39,2,Border,103,B1000,2,0,1,
203,40,2,Border,104,B1000,2,0,1,
204,41,2,Border,105,B1000,2,0,1,
205,42,2,Border,106,B1000,2,0,1,
206,43,2,Border,107,B1000,2,0,1,
207,44,2,Border,108,B1000,2,0,1,
208,45,2,Border,109,B1000,2,0,1,
209,46,2,Border,110,B1000,2,0,1,
210,47,2,Border,111,B1000,2,0,1,
211,48,2,Border,112,B1000,2,0,1,
212,49,2,Border,113,B1000,2,0,1,
213,50,2,Border,114,B1000,2,0,1,
214,51,2,Border,115,B1000,2,0,1,
215,52,2,Border,116,B1000,2,0,1,
216,53,2,Border,117,B1000,2,0,1,
217,54,2,Border,118,B1000,2,0,1,
218,55,2,Border,119,B1000,2,0,1,
219,56,2,Border,120,B1000,2,0,1,
220,57,2,Border,121,B1000,2,0,1,
221,58,2,Border,122,B1000,2,0,1,
222,59,2,Border,123,B1000,2,0,1,
223,60,2,Border,124,B1000,2,0,1,
224,61,2,Border,125,B1000,2,0,1,
225,62,2,Border,126,B1000,2,0,1,
226,63,2,Border,127,B1000,2,0,1,
227,64,2,Border,128,B1000,2,0,1,
228,1,3,Border,129,B1000,2,0,1,
229,2,3,Border,130,B1000,2,0,1,
230,3,3,2HYldAD,36,SB3363,2,2,1,80
231,4,3,2HYldAD,2,SBCH423,2,2,1,79
232,5,3,2HYldAD,25,SB5253,2,2,1,81
233,6,3,2HYldAD,10,SB6103,2,2,1,83
234,7,3,2HYldAD,16,SB7163,2,2,1,85
235,8,3,2HYldAD,6,SB863,2,2,1,78
236,1,4,Border,131,B1000,2,0,1,
237,2,4,Border,132,B1000,2,0,1,
238,3,4,2HYldAD,12,SB3124,2,2,1,75
239,4,4,2HYldAD,5,SB454,2,2,1,80
240,5,4,2HYldAD,21,SB5214,2,2,1,81
241,6,4,2HYldAD,29,SB6294,2,2,1,83
242,7,4,2HYldAD,28,SB7284,2,2,1,81
243,8,4,2HYldAD,4,SB844,2,2,1,77
244,1,5,Border,133,B1000,2,0,1,
245,2,5,Border,134,B1000,2,0,1,
246,3,5,2HYldAD,11,SB3115,2,2,1,83
247,4,5,2HYldAD,27,SB4275,2,2,1,81
248,5,5,2HYldAD,3,SBCH535,2,2,1,85
249,6,5,2HYldAD,19,SB6195,2,2,1,76
250,7,5,2HYldAD,22,SB7225,2,2,1,79
251,8,5,2HYldAD,1,SBCH815,2,2,1,77
252,1,6,Border,135,B1000,2,0,1,
253,2,6,Border,136,B1000,2,0,1,
254,3,6,2HYldAD,8,SB386,2,2,1,82
255,4,6,2HYldAD,7,SB476,2,2,1,84
256,5,6,2HYldAD,18,SB5186,2,2,1,80
257,6,6,2HYldAD,24,SB6246,2,2,1,79
258,7,6,2HYldAD,26,SB7266,2,2,1,76
259,8,6,2HYldAD,13,SB8136,2,2,1,84
260,1,7,Border,137,B1000,2,0,1,
261,2,7,Border,138,B1000,2,0,1,
262,3,7,2HYldAD,35,SB3357,2,2,1,80
263,4,7,2HYldAD,34,SB4347,2,2,1,77
264,5,7,2HYldAD,14,SB5147,2,2,1,75
265,6,7,2HYldAD,32,SB6327,2,2,1,75
266,7,7,2HYldAD,31,SB7317,2,2,1,84
267,8,7,2HYldAD,9,SB897,2,2,1,75
268,1,8,Border,139,B1000,2,0,1,
269,2,8,Border,140,B1000,2,0,1,
270,3,8,2HYldAD,17,SB3178,2,2,1,81
271,4,8,2HYldAD,23,SB4238,2,2,1,85
272,5,8,2HYldAD,33,SB5338,2,2,1,80
273,6,8,2HYldAD,30,SB6308,2,2,1,76
274,7,8,2HYldAD,20,SB7208,2,2,1,84
275,8,8,2HYldAD,15,SB8158,2,2,1,83
276,9,3,2HYldX,14,SB9143,2,2,1,76
277,10,3,2HYldX,17,SB10173,2,2,1,77
278,11,3,2HYldX,12,SB11123,2,2,1,82
279,12,3,2HYldX,33,SB12333,2,2,1,77
280,13,3,2HYldX,22,SB13223,2,2,1,80
281,14,3,2HYldX,36,SB14363,2,2,1,82
282,9,4,2HYldX,9,SB994,2,2,1,82
283,10,4,2HYldX,4,SB1044,2,2,1,75
284,11,4,2HYldX,18,SB11184,2,2,1,85
285,12,4,2HYldX,21,SB12214,2,2,1,75
